Profile,Experience,Relevance,Gap,Score
1,4,HIGH,NO,90
2,4,HIGH,NO,90
3,4,HIGH,NO,90
4,0,HIGH,NO,70
5,6,HIGH,NO,100
6,4,HIGH,NO,90
7,4,HIGH,NO,90
8,4,LOW,NO,40
9,4,HIGH,NO,90
10,4,HIGH,NO,90
11,4,HIGH,NO,90
12,10,HIGH,NO,100
13,10,HIGH,NO,100
14,12,HIGH,NO,100
15,8,HIGH,NO,100
16,16,HIGH,NO,100
17,12,HIGH,NO,100
18,14,HIGH,NO,100
19,16,HIGH,NO,100
20,12,HIGH,NO,100
21,12,HIGH,NO,100
22,10,HIGH,NO,100
23,12,HIGH,NO,100
24,12,HIGH,NO,100
25,12,HIGH,NO,100
26,10,HIGH,NO,100
27,16,HIGH,NO,100
28,12,HIGH,NO,100
29,12,HIGH,NO,100
30,12,HIGH,NO,100
31,16,HIGH,NO,100
32,12,HIGH,NO,100
33,14,HIGH,NO,100
34,10,HIGH,NO,100
35,6,HIGH,NO,100
36,12,HIGH,NO,100
37,6,HIGH,NO,100
38,12,HIGH,NO,100
39,14,HIGH,NO,100
40,10,LOW,NO,50
41,10,HIGH,NO,100
42,12,HIGH,NO,100
43,10,HIGH,NO,100
44,4,HIGH,NO,90
45,8,HIGH,NO,100
46,20,LOW,NO,50
47,12,HIGH,NO,100
48,16,HIGH,NO,100
49,14,HIGH,NO,100
50,6,HIGH,NO,100
51,12,HIGH,NO,100
52,20,HIGH,NO,100
53,14,LOW,NO,50
54,10,HIGH,NO,100
55,8,HIGH,NO,100
56,6,LOW,NO,50
57,10,HIGH,NO,100
58,12,HIGH,NO,100
59,12,HIGH,NO,100
60,14,HIGH,NO,100
61,10,HIGH,NO,100
62,14,HIGH,NO,100
63,16,HIGH,NO,100
64,12,HIGH,NO,100
65,14,HIGH,NO,100
66,20,HIGH,NO,100
67,24,HIGH,NO,100
68,20,HIGH,NO,100
69,30,HIGH,NO,100
70,36,LOW,NO,50
71,30,LOW,NO,50
72,36,LOW,NO,50
73,40,LOW,NO,50
74,25,LOW,NO,50
75,16,HIGH,NO,100
76,15,HIGH,NO,100
77,20,HIGH,NO,100
78,20,LOW,NO,50
79,16,HIGH,NO,100
80,14,HIGH,NO,100
81,16,HIGH,NO,100
82,20,HIGH,NO,100
83,12,HIGH,NO,100
84,20,HIGH,NO,100
85,0,HIGH,NO,70
86,0,HIGH,NO,70
87,0,HIGH,NO,70
88,0,LOW,NO,20
89,0,LOW,NO,20
