Profile Number,Job Title,Experience Level,Skills,Education,Certificates,Projects
1,Accounts Assistant,0–2 years / Freshers welcome,Proficiency in MS Excel | Attention to detail and accuracy,"Bachelor’s degree in Accounting, Finance, or Commerce | Basic knowledge of accounting principles",,
2,️. unior Accountant,0–2 years,Basic understanding of GST/TDS (preferred),"Degree in Accounting, Finance, or related field | Knowledge of accounting software (Tally/Zoho/SAP – preferred)",,
3,️. Accounting Associate,0–2 years,Strong analytical and organizational skills,Bachelor’s degree in Accounting or Finance | Proficiency in Excel and accounting tools,,
4,️. Trainee Accountant,Fresher / Internship / Training role,Basic computer and Excel knowledge,Commerce/Finance graduate or pursuing CA/CMA | Willingness to learn accounting systems,,
5,️. Accounts Executive,1–3 years,Strong communication and coordination skills,Bachelor’s degree in Accounting or Finance | Knowledge of accounting software,,
6,️. Finance Assistant,0–2 years,Strong Excel and numerical skills | Good organizational abilities,"Degree in Finance, Accounting, or Commerce",,
7,️. Billing Executive,0–2 years,Attention to detail and accuracy | Knowledge of invoicing systems,Commerce or Accounting background,,
8,️. Invoice Processing Executive,0–2 years,Strong data accuracy and verification skills | Familiarity with AP processes,Graduate in Commerce or Finance,,
9,️. Accounts Payable Assistant,0–2 years,Basic understanding of AP workflows | Good Excel and organizational skills,Accounting or Finance graduate,,
10,Accounts Receivable Assistant,0–2 years,Strong communication skills | Attention to detail and follow-up,Degree in Commerce or Accounting,,
11,Payroll Assistant,0–2 years,Basic payroll and labor law knowledge | High confidentiality and accuracy,"Graduate in Accounting, Finance, or HR",,
12,Accountant,2–5 years,,Bachelor’s degree in Accounting/Finance/Commerce | Knowledge of accounting standards and taxation basics | Proficiency in accounting software and MS Excel,,
13,General Accountant,2–5 years,,Degree in Accounting or Finance | Strong understanding of accounting cycles | Experience with ERP/accounting systems,,
14,Corporate Accountant,3–6 years,Strong compliance and documentation skills,Bachelor’s or Master’s in Accounting/Finance | Knowledge of corporate accounting standards,,
15,Staff Accountant,1–4 years,Good Excel and analytical skills | Attention to detail,Degree in Accounting or Commerce,,
16,Senior Accountant,4–8 years,Strong analytical and leadership skills | Advanced ERP and Excel knowledge,Degree in Accounting/Finance; CA/CMA preferred,,
17,Financial Accountant,3–6 years,Attention to regulatory compliance,Accounting or Finance degree,Strong financial reporting knowledge,
18,Cost Accountant,3–7 years,Strong analytical and numerical skills | Manufacturing/operations exposure preferred,CMA / Cost Accounting qualification preferred,,
19,Management Accountant,4–8 years,Strong analytical and presentation skills | Advanced Excel and reporting tools,Degree in Accounting/Finance; CMA preferred,,
20,Project Accountant,3–6 years,ERP and reporting tool experience,Accounting or Finance degree,,Strong project costing knowledge
21,Revenue Accountant,3–6 years,Attention to detail and compliance,Degree in Accounting or Finance | Strong understanding of revenue accounting,,
22,Inventory Accountant,2–5 years,Strong analytical skills,Accounting/Commerce degree | Knowledge of inventory accounting methods,,
23,Fixed Asset Accountant,3–6 years,Strong documentation and accuracy,Degree in Accounting or Finance | Knowledge of fixed asset accounting,,
24,Tax Accountant,3–6 years,Strong knowledge of tax regulations | Experience with tax filing systems and tools,Degree in Accounting/Finance/Commerce,,
25,Direct Tax Accountant,3–6 years,Strong knowledge of Income Tax laws | Attention to compliance and accuracy,Accounting/Finance degree; CA preferred,,
26,Description,2–5 years,Strong GST/VAT compliance knowledge | Experience with tax portals and tools,Degree in Accounting or Commerce,,
27,International Tax Accountant,4–8 years,Knowledge of international tax regulations | Strong analytical and documentation skills,Accounting/Finance degree; CA preferred,,
28,Transfer Pricing Analyst,3–6 years,Strong analytical and research skills | Knowledge of transfer pricing regulations,"Degree in Accounting, Finance, or Economics",,
29,Statutory Accountant,3–6 years,Strong knowledge of statutory compliance | High attention to regulatory accuracy,Accounting/Finance degree; CA preferred,,
30,Compliance Accountant,3–6 years,Strong regulatory and compliance knowledge | Detail-oriented and organized,Accounting or Finance degree,,
31,Forensic Accountant,4–8 years,Strong analytical and investigative skills | High ethical standards,Accounting/Finance degree; forensic certification preferred,,
32,Trust Accountant,3–6 years,Strong accuracy and confidentiality,Accounting/Finance degree | Knowledge of trust accounting principles,,
33,Fund Accountant,3–7 years,,Accounting/Finance degree | Knowledge of fund accounting and valuation,Strong Excel and financial systems skills,
34,Grant Accountant,2–5 years,Strong reporting and compliance skills,Accounting or Finance degree | Experience with grant or nonprofit accounting,,
35,Accounts Payable Executive,1–3 years,Knowledge of AP processes and controls,Graduate in Accounting / Commerce / Finance | Proficiency in MS Excel and accounting software,,
36,Accounts Payable Accountant,3–6 years,,Degree in Accounting or Finance | Strong knowledge of accounting principles | ERP/accounting software experience,,
37,Accounts Receivable Executive,1–3 years,Strong communication and follow-up skills | Attention to accuracy and timelines,Commerce or Accounting graduate,,
38,Accounts Receivable Accountant,3–6 years,ERP and Excel proficiency,Degree in Accounting or Finance | Strong understanding of revenue and AR accounting,,
39,Credit Controller,3–7 years,Strong analytical and negotiation skills | Knowledge of credit risk management,Accounting or Finance graduate,,
40,Collections Specialist,2–5 years,Strong communication and negotiation skills | Customer-centric approach,Graduate in Commerce / Finance,,
41,Billing Accountant,2–5 years,Strong attention to detail,Degree in Accounting or Commerce | Knowledge of billing systems and revenue accounting,,
42,Internal Auditor,3–6 years,"Strong understanding of internal controls and risk | Analytical, reporting, and communication skills",Degree in Accounting/Finance; CA/CIA preferred,,
43,External Auditor,2–5 years,Strong knowledge of auditing standards | Client handling and documentation skills,Accounting/Finance degree; CA preferred,,
44,Audit Associate,0–2 years,Basic understanding of audit concepts | Willingness to travel and learn,Graduate in Commerce/Accounting,,
45,Audit Executive,2–4 years,Knowledge of auditing standards and controls | Strong analytical and communication skills,Accounting/Finance graduate,,
46,Audit Manager,6–10 years,Extensive audit and compliance knowledge,,CA/CIA/CPA qualification preferred,Strong leadership and project management skills
47,Compliance Auditor,3–6 years,Strong regulatory and compliance knowledge | Detail-oriented and documentation-focused,Degree in Accounting/Finance,,
48,Risk Auditor,4–8 years,Strong analytical and risk assessment skills | Knowledge of ERM frameworks,Accounting/Finance degree; risk certification preferred,,
49,SOX Auditor,3–7 years,Strong knowledge of SOX and internal controls | Experience with control testing and documentation,Degree in Accounting/Finance,,
50,Payroll Executive,1–3 years,Basic knowledge of payroll laws and compliance | Proficiency in Excel and payroll software | High accuracy and confidentiality,"Graduate in Commerce, Accounting, Finance, or HR",,
51,Payroll Accountant,3–6 years,Knowledge of labor laws and statutory compliance | ERP and Excel proficiency,Degree in Accounting or Finance | Strong understanding of payroll accounting,,
52,Payroll Manager,6–10 years,Strong payroll and compliance expertise | Leadership and stakeholder management skills | Advanced Excel and payroll system knowledge,"Degree in Accounting, Finance, or HR; professional certification preferred",,
53,Compensation & Benefits Analyst,3–7 years,Strong analytical and data interpretation skills | Advanced Excel and reporting tool knowledge | Understanding of compensation frameworks and benefits,"Degree in Finance, HR, or Business Administration",,
54,Financial Analyst,2–5 years,Advanced Excel and reporting tools knowledge,"Degree in Finance, Accounting, or Economics",Strong analytical and financial modeling skills,
55,Finance Analyst,1–4 years,Strong Excel and analytical skills,Accounting/Finance graduate | Knowledge of accounting principles,,
56,MIS Executive,1–3 years,Strong Excel and data handling skills | Attention to detail and reporting accuracy,"Graduate in Commerce, Finance, or Business",,
57,MIS Analyst,2–5 years,Advanced Excel and BI tools knowledge | Strong analytical and problem-solving skills,"Degree in Finance, Accounting, or Data Analytics",,
58,Financial Reporting Analyst,3–6 years,High attention to detail and accuracy,Accounting or Finance degree,Strong financial reporting and compliance knowledge,
59,Budget Analyst,3–6 years,Strong analytical and forecasting skills | Excel and budgeting tool proficiency,"Degree in Finance, Accounting, or Economics",,
60,FP&A Analyst,3–7 years,Advanced Excel and BI tools knowledge,Finance or Accounting degree; MBA preferred,Strong financial modeling and analytical skills,
61,ERP Accountant,2–5 years,Hands-on experience with ERP systems | Good Excel and data analysis skills,Degree in Accounting or Finance | Strong understanding of accounting processes,,
62,SAP FICO Consultant,3–7 years,Strong SAP FICO configuration knowledge | Good communication and stakeholder management skills,"Degree in Accounting, Finance, or IT | Understanding of accounting and controlling processes",,
63,Oracle Financials Consultant,3–8 years,,Accounting/Finance or IT degree | Understanding of end-to-end accounting processes,Strong Oracle Financials knowledge,ERP implementation and support experience
64,NetSuite Accountant,2–6 years,Strong NetSuite ERP experience | Knowledge of revenue recognition and reporting | Advanced Excel and system skills,Degree in Accounting or Finance,,
